from,to
285,1155
286,188
286,70
287,954
287,1308
287,3
288,120
288,1237
289,809
289,1134
289,3
290,3
290,523
290,523
292,293
292,3
292,682
292,1215
294,233
294,102
295,3
295,309
295,261
295,32
296,297
296,426
296,468
296,3
298,3
298,659
300,602
300,150
301,184
301,3
302,303
302,469
303,531
303,9
304,583
304,3
304,937
304,1191
305,86
305,9
306,307
306,3
306,1184
306,1224
308,88
308,3
308,738
308,1221
310,1002
310,47
311,3
311,529
311,12
311,66
312,422
313,3
313,1100
313,1114
313,795
314,3
314,1225
315,42
316,3
316,1086
316,1089
317,952
317,3
318,70
318,188
319,70
319,638
319,32
319,3
319,88
320,321
320,485
320,3
320,1293
322,323
322,234
323,868
323,880
323,3
324,325
324,3
324,1097
326,118
326,708
326,824
326,3
326,279
327,3
327,723
327,1090
327,1294
328,151
328,354
329,330
329,3
329,1188
330,3
330,88
330,185
330,1175
330,282
331,332
331,987
331,3
331,1189
333,334
333,919
333,563
333,3
335,336
335,442
336,379
336,242
337,338
338,875
338,235
339,1077
339,3
341,342
341,624
341,1282
341,3
343,344
343,931
343,1197
343,3
345,346
345,66
345,211
345,3
347,188
347,125
347,10
348,759
348,3
349,199
349,223
350,351
350,681
351,484
351,551
351,3
351,1316
352,50
352,188
352,770
353,3
353,579
353,1051
355,460
355,816
355,3
355,1300
356,3
356,1230
357,358
357,552
357,672
357,3
359,476
359,825
359,361
359,282
359,3
360,361
360,3
360,282
360,92
360,1278
361,619
361,3
361,282
362,323
362,657
362,3
362,88
363,3
363,559
364,750
364,826
364,3
364,1238
365,366
365,3
365,1234
365,1311
367,895
367,3
367,1205
367,1307
368,369
368,1057
368,1171
368,3
371,372
371,1138
371,3
373,374
373,280
374,464
374,9
376,3
376,1030
376,1039
376,1137
377,229
377,736
378,651
378,1059
378,3
378,1212
379,283
379,859
382,383
382,269
383,86
383,9
384,3
384,854
384,970
385,261
385,1061
385,3
385,584
386,387
386,1222
386,3
388,32
388,3
388,343
389,3
389,1088
390,241
390,3
390,320
391,392
391,9
392,457
393,394
393,479
393,86
393,648
393,3
395,557
397,398
397,3
397,782
399,400
399,3
401,3
402,403
402,250
403,3
403,1321
404,125
404,533
404,188
405,454
405,873
406,3
406,506
406,574
406,86
406,32
406,1178
407,408
407,3
407,145
407,145
407,747
409,410
409,699
409,786
409,3
411,3
411,960
411,1103
411,1169
412,413
412,333
412,1190
412,453
412,3
414,315
414,406
414,3
414,1165
415,1001
415,1081
415,1167
415,3
416,513
417,3
417,66
417,66
418,85
418,32
420,3
420,587
421,3
421,1126
421,1130
421,1208
422,220
422,846
424,665
427,428
427,97
428,861
428,217
429,69
429,188
430,431
430,3
432,433
432,999
432,3
432,1315
433,29
433,639
434,12
434,279
434,3
435,893
435,902
435,917
435,3
436,437
436,3
436,884
436,1192
438,439
438,243
439,550
439,544
440,630
440,88
440,1110
440,3
442,3
442,797
443,188
443,894
443,314
444,280
444,12
444,3
444,1291
445,371
445,88
445,991
445,3
447,785
447,972
447,1041
447,3
448,741
448,3
448,1296
449,3
449,899
450,451
450,639
450,1207
450,486
450,3
452,860
452,3
453,1123
453,3
455,3
455,1149
456,3
456,807
456,948
457,235
457,1164
458,382
459,88
459,261
459,3
461,3
461,1235
462,463
462,12
462,3
462,703
464,3
464,837
464,1210
465,466
465,3
465,1180
467,3
467,853
467,1009
469,3
469,1186
471,128
471,891
471,3
473,32
473,1046
474,984
474,3
475,66
475,9
477,478
477,1142
477,1250
477,3
479,756
480,3
480,779
481,188
481,228
481,229
482,339
482,135
482,188
483,3
483,847
486,845
486,1131
486,3
486,1261
488,678
488,761
488,3
489,908
489,625
490,102
490,304
491,62
491,32
491,3
491,1152
491,1161
492,821
492,3
492,330
493,1102
493,526
494,3
494,538
494,881
494,1104
495,496
495,32
495,956
495,523
495,3
497,66
497,9
499,348
499,9
500,3
500,330
500,1141
501,279
501,326
502,9
502,91
504,38
504,720
504,12
504,3
508,509
508,279
508,3
508,1226
508,753
510,3
510,1283
511,512
511,803
511,1031
511,3
511,63
511,1150
513,514
513,862
514,188
514,533
514,125
516,517
516,783
516,3
516,974
518,940
518,988
518,1064
518,3
519,541
519,611
519,1034
519,3
520,3
520,88
520,70
520,66
522,235
522,409
523,3
523,789
523,936
524,3
524,737
524,1022
524,1035
525,526
525,9
526,742
526,898
526,3
526,637
527,448
527,32
527,3
527,1299
530,445
530,188
531,3
531,1025
532,610
532,88
532,958
532,3
532,261
533,3
533,276
533,125
533,1157
534,716
534,3
535,536
536,697
536,1108
537,90
537,570
537,88
537,3
537,1216
539,19
539,481
540,9
540,613
541,3
541,869
541,1043
541,1153
542,9
542,469
543,44
543,469
544,483
544,817
545,3
545,928
546,652
546,3
547,406
547,3
547,66
548,3
548,792
550,1129
550,3
550,1244
553,188
553,102
555,556
555,235
556,497
556,32
557,406
557,656
558,989
561,562
561,184
562,9
562,32
563,54
563,188
564,833
564,3
564,1066
565,566
565,801
565,1264
565,3
567,188
567,96
568,531
568,9
569,3
569,447
569,535
571,949
571,38
571,88
571,3
572,86
572,3
572,14
572,1302
575,576
575,3
575,1281
575,1285
578,235
578,679
578,88
578,3
578,1174
579,3
579,930
579,1275
580,271
580,983
581,582
581,3
581,313
581,815
584,377
585,586
585,3
585,12
585,198
585,639
588,589
588,3
590,1027
590,3
591,592
591,921
592,3
592,1312
593,188
593,102
594,3
594,1292
596,88
596,967
596,70
596,3
596,339
597,598
597,981
597,3
597,64
597,1298
599,438
600,38
600,3
600,526
601,1249
602,603
602,9
603,1085
603,151
605,9
605,91
607,3
607,1012
607,293
607,1093
607,351
608,70
608,1049
608,88
608,3
608,66
609,841
609,3
609,1154
609,1284
610,3
610,261
610,88
610,1203
611,131
611,3
611,1043
612,778
613,314
613,894
613,188
614,615
614,804
614,3
614,448
615,322
616,66
616,9
617,618
617,3
617,1262
619,835
620,416
620,693
621,418
622,542
622,348
625,626
625,591
626,955
626,3
627,499
627,687
629,64
629,1193
629,3
629,1297
630,946
631,469
631,668
632,925
632,3
632,1306
633,634
633,934
633,3
633,1277
635,3
635,389
636,249
636,796
637,198
637,600
640,3
640,125
640,726
641,611
641,235
641,3
641,1248
642,3
642,1318
643,409
643,66
644,88
644,953
644,38
644,3
645,646
645,1194
645,1236
645,3
647,3
647,1125
648,649
648,3
648,897
648,1048
648,86
650,696
650,3
653,32
653,409
654,655
654,83
654,125
654,3
656,32
656,675
660,661
660,3
660,1105
660,293
660,351
662,705
664,568
664,77
665,373
665,384
666,3
666,846
666,66
668,9
668,348
670,323
670,3
671,354
671,3
671,840
671,1147
673,3
673,1223
674,32
674,194
675,9
675,86
676,228
676,229
676,188
677,923
680,795
680,12
680,313
680,3
681,682
681,9
682,715
682,762
682,842
682,3
683,907
683,3
684,685
684,3
687,688
687,763
687,3
689,829
689,1179
689,3
689,1304
690,3
690,1135
691,3
691,172
691,125
692,3
692,1036
692,397
692,288
692,1187
693,23
693,9
694,695
694,700
694,63
694,63
694,1074
694,3
694,1286
697,229
697,188
697,228
698,620
699,844
701,15
703,830
703,1170
703,3
705,175
705,978
709,710
709,727
709,3
711,3
711,1151
712,9
712,371
713,714
713,1133
714,1052
714,9
717,406
717,3
717,86
718,719
718,235
719,166
719,32
724,725
724,448
725,32
725,525
726,674
729,730
729,564
729,3
731,32
731,136
733,718
736,769
736,38
738,3
738,1172
738,1301
739,404
739,9
743,998
743,3
743,1271
744,745
744,1118
744,1252
744,3
746,3
746,1185
747,748
747,3
747,145
747,145
747,1202
749,795
749,3
749,1158
749,1176
751,421
751,963
753,713
754,755
755,184
755,1007
756,975
756,448
757,758
757,354
757,3
757,1320
758,155
765,427
765,673
766,285
766,982
768,539
769,320
769,911
770,50
770,3
770,1073
771,9
771,32
772,1042
775,153
778,794
778,184
781,3
781,848
782,639
782,120
784,3
784,1072
786,555
787,788
787,12
787,38
787,3
790,791
790,3
793,888
793,3
794,9
794,32
796,249
796,118
796,1015
796,3
798,849
798,3
799,800
799,330
799,3
802,180
806,843
806,3
806,364
806,1045
808,70
808,188
811,812
811,356
812,1008
812,335
813,814
813,3
813,181
814,1000
815,795
815,892
815,1160
815,3
817,784
817,1239
822,823
822,32
823,9
823,86
825,561
827,3
827,51
827,406
828,66
828,9
831,832
831,3
834,878
834,3
835,836
835,184
836,32
836,9
838,3
838,330
838,1091
840,1003
842,927
844,391
844,397
846,3
846,1228
846,1288
850,302
851,312
851,670
855,1214
855,3
856,1087
856,1101
858,9
858,314
859,9
859,834
861,580
861,36
862,9
862,347
863,864
863,1140
863,330
863,3
865,1173
865,3
866,962
867,225
867,9
870,9
870,86
872,924
872,480
873,9
873,1280
875,32
875,475
882,261
882,9
883,867
883,49
885,314
885,894
885,188
886,3
886,12
886,38
886,1054
889,593
889,9
894,3
894,1011
894,314
896,543
900,901
900,3
900,1255
905,86
905,3
905,125
908,3
908,1272
910,53
910,9
911,333
911,247
912,913
912,3
915,3
915,1096
918,885
918,9
920,1071
920,3
921,349
921,929
922,605
922,411
923,1028
923,252
924,9
924,633
926,100
926,348
927,889
927,294
929,3
929,1273
935,811
935,588
939,279
939,393
945,3
945,1024
945,1251
945,64
946,76
946,922
947,631
950,402
962,80
962,687
963,215
963,179
966,452
966,1058
966,3
966,261
975,976
975,32
976,9
976,526
978,855
978,751
980,3
980,333
980,1287
982,116
982,9
983,3
983,1206
986,534
986,1063
989,65
989,32
990,330
990,1113
990,3
992,88
992,261
992,3
992,1240
993,3
993,523
993,523
995,996
995,406
995,3
995,68
1000,32
1000,8
1003,822
1003,406
1004,3
1004,181
1007,9
1007,32
1008,3
1008,1163
1011,1062
1014,207
1014,3
1014,104
1016,9
1016,531
1020,3
1020,1263
1028,273
1028,255
1032,664
1033,3
1033,645
1042,687
1042,114
1046,121
1046,502
1048,724
1062,676
1062,883
1063,430
1063,765
1068,83
1068,3
1068,12
1068,1246
1073,45
1094,1117
1102,9
1102,86
1108,918
1108,74
1112,443
1112,9
1117,348
1117,1016
1139,548
1139,9
1164,616
1164,32
1231,1139
1231,224
1239,900
1239,1231
1249,285
1249,712
1313,627
