name:START_ID :TYPE name:END_ID
53 comment 1023
53 type 564
53 type 198
53 label 1182
53 isDefinedBy 3
54 range 55
54 comment 507
54 type 7
54 isDefinedBy 3
54 label 997
54 domain 333
55 isDefinedBy 3
55 comment 734
55 label 994
55 type 68
56 comment 57
56 domain 526
56 isDefinedBy 3
56 type 7
58 label 59
58 isDefinedBy 3
58 type 183
58 type 198
58 type 37
60 subClassOf 28
60 seeAlso 381
60 type 68
60 comment 961
60 isDefinedBy 3
60 label 1266
61 allValuesFrom 62
61 type 232
61 onProperty 409
62 label 628
62 type 68
62 subClassOf 68
62 comment 1092
62 subClassOf 61
62 isDefinedBy 3
63 seeAlso 64
63 type 68
63 comment 760
63 isDefinedBy 3
63 label 1295
65 first 66
65 rest 9
66 subClassOf 68
66 type 68
66 subClassOf 567
66 isDefinedBy 3
66 seeAlso 1097
66 subClassOf 643
66 comment 1233
66 label 1267
67 type 68
67 isDefinedBy 3
67 seeAlso 1019
67 comment 1040
67 label 1148
67 subClassOf 448
68 type 68
69 subPropertyOf 70
69 type 99
69 domain 66
69 isDefinedBy 3
69 type 7
69 range 88
69 type 26
69 label 1319
70 isDefinedBy 3
70 type 7
70 range 88
70 label 1050
70 subPropertyOf 126
70 type 669
70 type 26
71 seeAlso 72
71 comment 73
71 type 68
71 isDefinedBy 3
71 subClassOf 191
71 label 1181
74 onClass 50
74 maxQualifiedCardinality 188
74 type 232
74 onProperty 770
75 type 26
75 domain 38
75 isDefinedBy 3
75 range 88
75 comment 1303
76 isDefinedBy 3
76 subClassOf 191
76 comment 887
76 type 68
76 label 1013
76 seeAlso 1070
77 label 78
77 type 198
77 type 47
77 type 37
77 isDefinedBy 3
77 comment 971
79 isDefinedBy 3
79 range 406
79 type 7
79 label 764
79 domain 86
80 rest 9
80 first 77
81 isDefinedBy 3
81 label 1038
81 type 198
81 type 37
81 type 211
82 isDefinedBy 3
82 subClassOf 647
82 seeAlso 512
82 type 68
82 label 1258
82 comment 1274
83 isDefinedBy 3
83 label 227
83 seeAlso 446
83 type 68
83 comment 942
83 subClassOf 448
84 type 26
84 label 106
84 seeAlso 210
84 isDefinedBy 3
84 range 12
84 domain 66
84 comment 1098
84 type 99
85 first 86
85 rest 9
86 seeAlso 237
86 label 498
86 isDefinedBy 3
86 comment 394
86 type 68
86 seeAlso 1204
87 range 88
87 type 669
87 label 767
87 type 26
87 subPropertyOf 70
87 isDefinedBy 3
87 type 7
87 domain 66
87 type 99
89 domain 90
89 comment 168
89 type 26
89 label 951
89 range 88
89 isDefinedBy 3
90 type 68
90 label 879
90 isDefinedBy 3
90 comment 1109
90 subClassOf 21
91 type 68
91 seeAlso 169
91 subClassOf 191
91 label 1122
91 isDefinedBy 3
91 comment 1290
92 unionOf 93
92 type 68
93 first 184
93 rest 771
94 subClassOf 95
94 isDefinedBy 3
94 type 68
94 label 1257
95 comment 554
95 isDefinedBy 3
95 subClassOf 448
95 label 773
95 seeAlso 485
95 type 68
96 isDefinedBy 3
96 comment 238
96 domain 395
96 comment 735
96 label 914
96 range 88
96 type 669
96 subPropertyOf 70
96 type 7
96 seeAlso 1245
96 type 26
97 type 37
97 type 211
97 type 198
97 isDefinedBy 3
97 label 1029
98 type 99
98 isDefinedBy 3
98 range 12
98 type 26
98 comment 1270
98 domain 464
100 first 77
100 rest 9
101 isDefinedBy 3
101 domain 389
101 type 7
102 domain 103
102 comment 267
102 range 456
102 isDefinedBy 3
102 type 7
103 unionOf 350
103 type 68
104 seeAlso 105
104 label 219
104 isDefinedBy 3
104 comment 1078
104 type 68
104 subClassOf 448
107 type 37
107 type 211
107 type 198
107 isDefinedBy 3
107 label 977
108 subClassOf 28
108 comment 396
108 type 68
108 isDefinedBy 3
108 label 1145
108 seeAlso 1218
109 comment 110
109 label 515
109 isDefinedBy 3
109 seeAlso 776
109 type 68
109 subClassOf 162
111 isDefinedBy 3
111 type 37
111 label 1021
111 type 183
111 type 198
112 seeAlso 113
112 subClassOf 68
112 type 68
112 isDefinedBy 3
112 comment 938
112 seeAlso 277
112 label 1253
114 rest 9
114 first 531
115 first 116
115 rest 9
116 subClassOf 145
116 subClassOf 318
116 comment 819
116 type 68
116 label 1010
116 isDefinedBy 3
117 isDefinedBy 3
117 label 706
117 comment 839
117 subClassOf 28
117 seeAlso 1111
117 type 68
118 subClassOf 119
118 isDefinedBy 3
118 subClassOf 636
118 type 68
118 subClassOf 501
118 label 1219
119 subClassOf 86
119 type 68
119 isDefinedBy 3
119 label 1146
119 seeAlso 237
120 type 99
120 label 932
120 isDefinedBy 3
120 domain 558
120 type 26
120 comment 1067
120 range 12
121 isDefinedBy 3
121 type 68
121 seeAlso 1121
121 label 1127
121 comment 1132
121 subClassOf 364
122 comment 123
122 domain 452
122 range 88
122 type 26
122 label 1047
122 isDefinedBy 3
124 range 125
124 type 99
124 isDefinedBy 3
124 domain 280
124 comment 1198
124 type 26
126 type 7
126 type 669
127 type 68
127 isDefinedBy 3
127 subClassOf 448
127 label 1209
127 seeAlso 1217
127 comment 1256
128 type 68
128 unionOf 766
129 type 99
129 label 663
129 domain 611
129 type 7
129 isDefinedBy 3
130 comment 131
130 isDefinedBy 3
130 type 7
130 domain 235
130 label 1034
130 range 611
132 onProperty 133
132 type 232
132 cardinality 188
133 range 66
133 comment 577
133 isDefinedBy 3
133 domain 621
133 type 7
134 range 125
134 domain 172
134 type 26
134 isDefinedBy 3
134 type 99
135 type 7
136 comment 137
136 domain 337
136 isDefinedBy 3
136 type 7
136 inverseOf 409
136 range 733
136 label 1305
138 comment 139
138 domain 384
138 type 26
138 range 293
138 type 99
138 isDefinedBy 3
140 isDefinedBy 3
140 domain 601
140 comment 623
140 type 99
140 range 88
140 type 26
141 comment 142
141 seeAlso 185
141 subPropertyOf 361
141 isDefinedBy 3
141 range 282
141 domain 754
141 type 7
143 type 68
143 subClassOf 191
143 seeAlso 573
143 comment 810
143 label 874
143 isDefinedBy 3
144 type 26
144 isDefinedBy 3
144 range 12
144 type 99
145 subClassOf 261
145 seeAlso 852
145 disjointWith 510
145 label 1196
145 type 68
145 isDefinedBy 3
146 type 68
146 subClassOf 28
146 label 722
146 seeAlso 732
146 isDefinedBy 3
146 comment 1213
147 type 68
147 comment 165
147 subClassOf 145
147 isDefinedBy 3
147 label 1279
148 unionOf 149
148 type 68
149 rest 300
149 first 328
150 onProperty 151
150 type 232
150 someValuesFrom 258
151 type 26
151 isDefinedBy 3
151 type 99
151 domain 802
152 type 68
152 seeAlso 277
152 comment 370
152 isDefinedBy 3
152 label 1080
152 subClassOf 448
153 rest 154
153 first 77
154 rest 226
154 first 687
155 first 32
155 rest 493
156 label 157
156 subClassOf 28
156 isDefinedBy 3
156 type 68
156 seeAlso 381
156 comment 1317
158 label 159
158 type 68
158 seeAlso 818
158 subClassOf 448
158 comment 1099
158 isDefinedBy 3
160 type 99
160 domain 17
160 isDefinedBy 3
160 comment 1065
160 type 26
160 range 88
161 subClassOf 162
161 seeAlso 375
161 type 68
161 label 752
161 comment 979
161 isDefinedBy 3
162 type 68
162 subClassOf 364
162 label 528
162 comment 658
162 isDefinedBy 3
163 type 26
163 range 12
163 isDefinedBy 3
163 domain 261
164 isDefinedBy 3
164 seeAlso 521
164 subClassOf 298
164 label 1082
164 type 68
164 comment 1168
166 rest 9
166 first 66
167 type 68
167 isDefinedBy 3
167 subClassOf 684
167 label 1079
170 seeAlso 171
170 type 26
170 isDefinedBy 3
170 range 12
170 domain 66
172 type 68
173 type 174
173 distinctMembers 926
175 label 176
175 type 233
175 isDefinedBy 3
175 type 37
175 type 198
175 seeAlso 774
175 comment 857
177 label 178
177 seeAlso 795
177 comment 871
177 type 68
177 isDefinedBy 3
177 subClassOf 313
179 type 37
179 label 943
179 type 233
179 isDefinedBy 3
179 seeAlso 1083
179 type 198
180 first 181
180 rest 882
181 type 68
181 comment 686
181 label 820
181 isDefinedBy 3
182 type 183
182 type 198
182 type 37
182 isDefinedBy 3
182 label 1269
183 isDefinedBy 3
183 type 68
183 label 1259
184 seeAlso 185
184 subClassOf 198
184 comment 777
184 isDefinedBy 3
184 label 968
184 type 68
186 isDefinedBy 3
186 comment 472
186 range 88
186 domain 285
186 type 26
187 cardinality 188
187 type 232
187 onProperty 353
189 type 26
189 range 12
189 domain 38
189 isDefinedBy 3
189 type 99
189 label 1095
189 comment 1232
190 range 88
190 type 26
190 comment 704
190 domain 285
190 isDefinedBy 3
191 label 192
191 subClassOf 364
191 isDefinedBy 3
191 type 68
193 first 32
193 rest 828
194 rest 9
194 first 86
195 type 7
195 range 333
195 domain 320
195 isDefinedBy 3
196 label 197
196 subClassOf 21
196 type 68
196 isDefinedBy 3
196 comment 1289
198 type 68
199 rest 200
199 first 317
200 rest 986
200 first 81
201 isDefinedBy 3
201 label 487
201 subClassOf 448
201 comment 1055
201 seeAlso 1128
201 type 68
202 comment 203
202 subClassOf 28
202 type 68
202 label 1119
202 seeAlso 1156
202 isDefinedBy 3
204 type 26
204 isDefinedBy 3
204 domain 181
204 type 99
204 range 12
205 comment 206
205 isDefinedBy 3
205 subPropertyOf 301
205 range 184
205 domain 32
205 type 7
207 type 68
207 subClassOf 68
207 isDefinedBy 3
207 seeAlso 1159
207 label 1314
208 type 68
208 isDefinedBy 3
208 subClassOf 121
208 label 1227
209 type 26
209 domain 703
209 type 99
209 range 125
209 comment 1177
209 isDefinedBy 3
211 comment 419
211 type 68
211 label 1075
211 isDefinedBy 3
212 comment 213
212 isDefinedBy 3
212 subClassOf 298
212 type 68
212 seeAlso 1276
212 label 1322
214 onProperty 6
214 type 232
214 allValuesFrom 86
215 first 216
215 rest 872
216 label 549
216 type 233
216 type 37
216 type 198
216 seeAlso 1268
216 isDefinedBy 3
217 type 37
217 type 211
217 type 198
217 isDefinedBy 3
217 label 959
218 isDefinedBy 3
218 subClassOf 32
218 subClassOf 310
218 subClassOf 132
218 subClassOf 692
218 subClassOf 939
218 type 68
218 label 1162
220 rest 221
220 first 343
221 rest 9
221 first 386
222 type 68
222 isDefinedBy 3
222 subClassOf 448
222 label 1106
222 seeAlso 1120
222 comment 1144
223 isDefinedBy 3
223 label 254
223 type 37
223 type 211
223 type 198
224 type 37
224 type 198
224 type 304
224 label 877
224 isDefinedBy 3
224 comment 1116
225 maxQualifiedCardinality 188
225 onClass 314
225 onProperty 894
225 type 232
226 rest 622
226 first 531
228 range 229
228 isDefinedBy 3
228 domain 768
228 type 7
229 isDefinedBy 3
229 label 423
229 subClassOf 523
229 type 68
230 subClassOf 231
230 label 721
230 type 68
230 seeAlso 1017
230 isDefinedBy 3
230 comment 1254
231 subClassOf 364
231 label 957
231 type 68
231 comment 1044
231 seeAlso 1076
231 isDefinedBy 3
233 isDefinedBy 3
233 type 68
233 comment 1018
233 label 1243
233 subClassOf 456
234 first 32
234 rest 9
235 subClassOf 236
235 subClassOf 522
235 seeAlso 606
235 subClassOf 68
235 type 68
235 comment 916
235 label 1037
235 isDefinedBy 3
236 allValuesFrom 235
236 onProperty 136
236 type 232
239 label 240
239 isDefinedBy 3
239 type 7
239 domain 32
239 comment 1143
241 type 68
241 unionOf 473
242 type 37
242 label 291
242 type 211
242 type 198
242 isDefinedBy 3
243 label 244
243 type 37
243 type 198
243 isDefinedBy 3
243 type 304
243 comment 1247
245 type 7
245 domain 32
245 comment 1026
245 subPropertyOf 301
245 range 184
245 isDefinedBy 3
246 type 37
246 type 183
246 type 198
246 label 1229
246 isDefinedBy 3
247 rest 248
247 first 50
248 first 32
248 rest 858
249 isDefinedBy 3
249 seeAlso 505
249 label 728
249 comment 1053
249 type 68
249 subClassOf 363
250 rest 251
250 first 474
251 rest 489
251 first 449
252 label 253
252 type 564
252 type 198
252 isDefinedBy 3
252 type 37
255 first 256
255 rest 910
256 comment 707
256 label 941
256 type 564
256 type 198
256 isDefinedBy 3
256 type 37
257 isDefinedBy 3
257 subClassOf 684
257 type 68
257 label 1124
258 type 259
260 type 7
260 label 380
260 isDefinedBy 3
260 domain 541
261 comment 262
261 disjointWith 269
261 type 68
261 label 667
261 seeAlso 852
261 subClassOf 148
261 isDefinedBy 3
261 disjointWith 86
261 disjointWith 32
264 type 7
264 domain 32
264 range 313
264 isDefinedBy 3
265 seeAlso 266
265 label 503
265 type 68
265 subClassOf 28
265 comment 1115
265 isDefinedBy 3
268 first 269
268 rest 870
269 isDefinedBy 3
269 comment 944
269 equivalentClass 698
269 label 1006
269 type 68
270 type 26
270 range 12
270 domain 703
270 comment 969
270 type 99
270 isDefinedBy 3
271 rest 272
271 first 711
272 rest 935
272 first 912
273 label 274
273 type 564
273 type 198
273 isDefinedBy 3
273 type 37
275 onClass 229
275 qualifiedCardinality 188
275 type 232
275 onProperty 228
276 type 68
276 unionOf 268
278 domain 279
278 comment 470
278 isDefinedBy 3
278 type 26
278 type 99
278 range 125
279 label 985
279 isDefinedBy 3
279 type 68
279 subClassOf 119
280 comment 281
280 type 68
280 subClassOf 441
280 isDefinedBy 3
280 label 1220
282 seeAlso 185
282 label 340
282 isDefinedBy 3
282 comment 1107
282 type 68
283 isDefinedBy 3
283 label 740
283 type 198
283 type 37
283 type 211
284 type 26
284 type 99
284 range 125
284 domain 313
284 isDefinedBy 3
285 subClassOf 286
285 label 560
285 isDefinedBy 3
285 subClassOf 145
285 comment 1155
285 type 68
286 type 232
286 cardinality 188
286 onProperty 70
287 type 37
287 type 211
287 comment 954
287 type 198
287 label 1308
287 isDefinedBy 3
288 type 232
288 onProperty 120
288 hasValue 1237
289 type 68
289 comment 809
289 label 1134
289 isDefinedBy 3
290 isDefinedBy 3
290 domain 523
290 range 523
290 type 7
292 range 293
292 isDefinedBy 3
292 type 26
292 domain 682
292 type 99
292 comment 1215
294 allValuesFrom 233
294 onProperty 102
294 type 232
295 isDefinedBy 3
295 comment 309
295 type 7
295 range 261
295 domain 32
296 label 297
296 seeAlso 426
296 comment 468
296 isDefinedBy 3
296 subClassOf 448
296 type 68
298 isDefinedBy 3
298 label 659
298 subClassOf 364
298 type 68
300 rest 602
300 first 150
301 range 184
301 isDefinedBy 3
301 type 7
302 rest 303
302 first 469
303 first 531
303 rest 9
304 type 68
304 label 583
304 subClassOf 456
304 isDefinedBy 3
304 seeAlso 937
304 comment 1191
305 first 86
305 rest 9
306 comment 307
306 isDefinedBy 3
306 type 68
306 subClassOf 298
306 seeAlso 1184
306 label 1224
308 range 88
308 isDefinedBy 3
308 domain 738
308 type 26
308 comment 1221
310 type 232
310 onProperty 1002
310 someValuesFrom 47
311 isDefinedBy 3
311 seeAlso 529
311 type 26
311 range 12
311 domain 66
312 type 68
312 unionOf 422
313 type 68
313 isDefinedBy 3
313 label 1100
313 comment 1114
313 seeAlso 795
314 type 68
314 isDefinedBy 3
314 subClassOf 523
314 label 1225
315 type 259
315 oneOf 42
316 type 68
316 isDefinedBy 3
316 subClassOf 546
316 comment 1086
316 label 1089
317 type 37
317 type 211
317 type 198
317 label 952
317 isDefinedBy 3
318 onProperty 70
318 type 232
318 cardinality 188
319 subPropertyOf 70
319 comment 638
319 domain 32
319 isDefinedBy 3
319 type 7
319 type 26
319 range 88
320 comment 321
320 seeAlso 485
320 type 68
320 subClassOf 119
320 isDefinedBy 3
320 label 1293
322 first 323
322 rest 234
323 subClassOf 441
323 type 68
323 subClassOf 851
323 label 868
323 comment 880
323 isDefinedBy 3
324 comment 325
324 type 68
324 isDefinedBy 3
324 subClassOf 66
324 seeAlso 1097
324 subClassOf 397
326 domain 118
326 comment 708
326 label 824
326 isDefinedBy 3
326 type 7
326 type 99
326 range 279
327 isDefinedBy 3
327 comment 723
327 seeAlso 1090
327 type 68
327 label 1294
327 subClassOf 465
328 onProperty 151
328 type 232
328 someValuesFrom 354
329 subPropertyOf 330
329 type 26
329 isDefinedBy 3
329 comment 1188
330 isDefinedBy 3
330 type 26
330 range 88
330 seeAlso 185
330 comment 1175
330 domain 282
331 label 332
331 comment 987
331 isDefinedBy 3
331 seeAlso 1189
331 subClassOf 448
331 type 68
333 label 334
333 type 68
333 comment 919
333 subClassOf 526
333 equivalentClass 563
333 isDefinedBy 3
335 rest 336
335 first 442
336 rest 379
336 first 242
337 unionOf 338
337 type 68
338 rest 875
338 first 235
339 type 68
339 subClassOf 482
339 label 1077
339 isDefinedBy 3
339 subClassOf 595
339 subClassOf 198
341 comment 342
341 seeAlso 624
341 type 68
341 subClassOf 448
341 label 1282
341 isDefinedBy 3
343 comment 344
343 type 68
343 seeAlso 931
343 label 1197
343 isDefinedBy 3
345 comment 346
345 domain 66
345 type 99
345 range 211
345 isDefinedBy 3
345 type 7
347 maxQualifiedCardinality 188
347 onDataRange 125
347 onProperty 10
347 type 232
348 type 198
348 type 47
348 label 759
348 type 37
348 isDefinedBy 3
349 rest 199
349 first 223
350 first 351
350 rest 681
351 type 68
351 seeAlso 484
351 label 551
351 subClassOf 191
351 subClassOf 490
351 subClassOf 553
351 isDefinedBy 3
351 comment 1316
352 onClass 50
352 maxQualifiedCardinality 188
352 type 232
352 onProperty 770
353 isDefinedBy 3
353 domain 579
353 comment 1051
353 type 26
354 type 259
355 type 68
355 seeAlso 460
355 label 816
355 isDefinedBy 3
355 subClassOf 162
355 comment 1300
356 type 198
356 isDefinedBy 3
356 type 37
356 type 211
356 label 1230
357 seeAlso 358
357 subClassOf 28
357 comment 552
357 label 672
357 type 68
357 isDefinedBy 3
359 type 7
359 comment 476
359 domain 825
359 subPropertyOf 361
359 range 282
359 isDefinedBy 3
360 subPropertyOf 361
360 isDefinedBy 3
360 range 282
360 domain 92
360 type 7
360 comment 1278
361 domain 619
361 isDefinedBy 3
361 range 282
361 type 7
362 domain 323
362 type 26
362 comment 657
362 isDefinedBy 3
362 range 88
363 subClassOf 364
363 isDefinedBy 3
363 label 559
363 type 68
364 label 750
364 seeAlso 826
364 isDefinedBy 3
364 comment 1238
364 type 68
364 subClassOf 448
365 comment 366
365 isDefinedBy 3
365 subClassOf 231
365 type 68
365 label 1234
365 seeAlso 1311
367 type 68
367 label 895
367 isDefinedBy 3
367 subClassOf 162
367 comment 1205
367 seeAlso 1307
368 seeAlso 369
368 type 68
368 subClassOf 448
368 comment 1057
368 label 1171
368 isDefinedBy 3
371 label 372
371 type 68
371 comment 1138
371 subClassOf 530
371 isDefinedBy 3
371 subClassOf 145
373 rest 374
373 first 280
374 first 464
374 rest 9
376 type 68
376 subClassOf 448
376 isDefinedBy 3
376 label 1030
376 comment 1039
376 seeAlso 1137
377 first 229
377 rest 736
378 type 68
378 subClassOf 28
378 seeAlso 651
378 comment 1059
378 isDefinedBy 3
378 label 1212
379 first 283
379 rest 859
382 rest 383
382 first 269
383 first 86
383 rest 9
384 subClassOf 21
384 type 68
384 isDefinedBy 3
384 comment 854
384 label 970
385 range 261
385 type 7
385 comment 1061
385 isDefinedBy 3
385 domain 584
386 comment 387
386 type 68
386 label 1222
386 isDefinedBy 3
388 domain 32
388 isDefinedBy 3
388 range 343
388 type 7
389 isDefinedBy 3
389 type 68
389 label 1088
389 subClassOf 526
390 type 7
390 domain 241
390 isDefinedBy 3
390 range 320
391 first 392
391 rest 9
392 type 68
392 unionOf 457
393 comment 394
393 domain 479
393 range 86
393 inverseOf 648
393 isDefinedBy 3
393 type 7
395 unionOf 557
395 type 68
397 comment 398
397 isDefinedBy 3
397 type 68
397 equivalentClass 782
399 label 400
399 isDefinedBy 3
399 type 68
399 subClassOf 86
401 isDefinedBy 3
401 type 7
402 first 403
402 rest 250
403 type 198
403 type 37
403 type 211
403 isDefinedBy 3
403 label 1321
404 onDataRange 125
404 onProperty 533
404 type 232
404 maxQualifiedCardinality 188
405 type 43
405 first 454
405 rest 873
406 isDefinedBy 3
406 seeAlso 506
406 label 574
406 disjointWith 86
406 disjointWith 32
406 subClassOf 214
406 subClassOf 198
406 type 68
406 comment 1178
407 comment 408
407 type 7
407 isDefinedBy 3
407 domain 145
407 range 145
407 inverseOf 747
409 comment 410
409 range 699
409 domain 786
409 isDefinedBy 3
409 type 7
411 isDefinedBy 3
411 label 960
411 comment 1103
411 seeAlso 1169
411 type 68
411 subClassOf 363
412 label 413
412 type 7
412 range 333
412 comment 1190
412 domain 453
412 isDefinedBy 3
414 range 315
414 domain 406
414 type 26
414 isDefinedBy 3
414 type 99
414 comment 1165
415 type 68
415 seeAlso 1001
415 comment 1081
415 label 1167
415 subClassOf 231
415 isDefinedBy 3
416 type 68
416 intersectionOf 513
417 isDefinedBy 3
417 type 7
417 range 66
417 domain 66
418 rest 85
418 first 32
420 isDefinedBy 3
420 subClassOf 95
420 label 587
420 type 68
421 type 233
421 type 198
421 isDefinedBy 3
421 type 37
421 seeAlso 1126
421 label 1130
421 comment 1208
422 rest 220
422 first 846
424 type 68
424 unionOf 665
427 rest 428
427 first 97
428 rest 861
428 first 217
429 onProperty 69
429 type 232
429 cardinality 188
430 label 431
430 type 37
430 type 211
430 type 198
430 isDefinedBy 3
432 equivalentClass 433
432 type 68
432 comment 999
432 isDefinedBy 3
432 label 1315
433 type 232
433 onProperty 29
433 hasValue 639
434 range 12
434 domain 279
434 type 26
434 isDefinedBy 3
435 type 68
435 label 893
435 comment 902
435 seeAlso 917
435 subClassOf 28
435 isDefinedBy 3
436 label 437
436 subClassOf 191
436 type 68
436 isDefinedBy 3
436 seeAlso 884
436 comment 1192
438 rest 439
438 first 243
439 first 550
439 rest 544
440 type 26
440 domain 630
440 range 88
440 comment 1110
440 isDefinedBy 3
441 type 68
442 type 37
442 type 211
442 isDefinedBy 3
442 label 797
442 type 198
443 maxQualifiedCardinality 188
443 type 232
443 onProperty 894
443 onClass 314
444 type 26
444 domain 280
444 range 12
444 isDefinedBy 3
444 type 99
444 comment 1291
445 domain 371
445 range 88
445 comment 991
445 type 26
445 isDefinedBy 3
447 subClassOf 448
447 seeAlso 785
447 label 972
447 comment 1041
447 isDefinedBy 3
447 type 68
448 comment 741
448 isDefinedBy 3
448 type 68
448 label 1296
449 type 37
449 type 211
449 isDefinedBy 3
449 label 899
449 type 198
450 label 451
450 deprecated 639
450 subClassOf 448
450 type 68
450 comment 1207
450 seeAlso 486
450 isDefinedBy 3
452 label 860
452 isDefinedBy 3
452 type 68
452 subClassOf 198
453 type 68
453 subClassOf 432
453 subClassOf 32
453 label 1123
453 isDefinedBy 3
455 type 68
455 isDefinedBy 3
455 label 1149
455 subClassOf 95
456 isDefinedBy 3
456 comment 807
456 label 948
456 type 68
457 first 235
457 rest 1164
458 unionOf 382
458 type 68
459 type 26
459 range 88
459 domain 261
459 isDefinedBy 3
461 isDefinedBy 3
461 type 7
461 label 1235
462 comment 463
462 type 26
462 range 12
462 isDefinedBy 3
462 type 99
462 domain 703
464 isDefinedBy 3
464 subClassOf 441
464 comment 837
464 type 68
464 label 1210
465 comment 466
465 isDefinedBy 3
465 subClassOf 364
465 label 1180
465 type 68
467 isDefinedBy 3
467 comment 853
467 subClassOf 510
467 label 1009
467 type 68
469 isDefinedBy 3
469 type 198
469 type 47
469 type 37
469 label 1186
471 domain 128
471 type 99
471 comment 891
471 type 26
471 isDefinedBy 3
473 first 32
473 rest 1046
474 type 198
474 label 984
474 type 37
474 type 211
474 isDefinedBy 3
475 first 66
475 rest 9
477 comment 478
477 subClassOf 28
477 type 68
477 label 1142
477 seeAlso 1250
477 isDefinedBy 3
479 type 68
479 unionOf 756
480 type 37
480 isDefinedBy 3
480 label 779
480 type 233
480 type 198
481 qualifiedCardinality 188
481 type 232
481 onProperty 228
481 onClass 229
482 onClass 339
482 onProperty 135
482 qualifiedCardinality 188
482 type 232
483 type 198
483 isDefinedBy 3
483 label 847
483 type 37
483 type 304
486 type 68
486 comment 845
486 seeAlso 1131
486 subClassOf 448
486 isDefinedBy 3
486 label 1261
488 type 68
488 comment 678
488 label 761
488 subClassOf 21
488 isDefinedBy 3
489 first 908
489 rest 625
490 type 232
490 onProperty 102
490 allValuesFrom 304
491 range 62
491 domain 32
491 type 7
491 isDefinedBy 3
491 comment 1152
491 label 1161
492 type 26
492 comment 821
492 isDefinedBy 3
492 subPropertyOf 330
493 rest 1102
493 first 526
494 isDefinedBy 3
494 label 538
494 seeAlso 881
494 comment 1104
494 type 68
494 subClassOf 465
495 label 496
495 domain 32
495 comment 956
495 range 523
495 isDefinedBy 3
495 type 7
497 first 66
497 rest 9
499 first 348
499 rest 9
500 type 26
500 isDefinedBy 3
500 subPropertyOf 330
500 comment 1141
501 allValuesFrom 279
501 onProperty 326
501 type 232
502 rest 9
502 first 91
504 domain 38
504 comment 720
504 type 26
504 range 12
504 isDefinedBy 3
508 seeAlso 509
508 domain 279
508 type 26
508 isDefinedBy 3
508 comment 1226
508 range 753
510 isDefinedBy 3
510 type 68
510 subClassOf 261
510 label 1283
511 seeAlso 512
511 comment 803
511 label 1031
511 isDefinedBy 3
511 range 63
511 type 7
511 domain 1150
513 first 514
513 rest 862
514 qualifiedCardinality 188
514 onProperty 533
514 type 232
514 onDataRange 125
516 comment 517
516 label 783
516 isDefinedBy 3
516 seeAlso 974
516 subClassOf 465
516 type 68
518 type 68
